ID,Publish Date,Title,Author ID,Comment Count,Primary Tickers,Secondary Tickers,Image URL
4151047,2024-09-19T08:13:25-04:00,DoorDash rides higher after BTIG says it's a rare growth story,954720,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4139913,2024-08-14T12:23:46-04:00,"Soros Fund Management's top buys and sells in Q2 include Alphabet, Salesforce, others",54370868,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/693700256/image_693700256.jpg
4133683,2024-08-04T09:00:00-04:00,DoorDash Q2 results underscore potential for increased vertical expansion,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1147932669/image_1147932669.jpg
4132678,2024-08-01T17:57:55-04:00,Nasdaq futures fall nearly 3% after hours as Intel plunges,60268795,68,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1358927461/image_1358927461.jpg
4132726,2024-08-01T17:06:02-04:00,DoorDash rallies as revenue and orders post double-digit gains,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4132574,2024-08-01T16:17:14-04:00,"DoorDash GAAP EPS of -$0.38 misses by $0.29, revenue of $2.63B beats by $90M",54603272,4,tag,,
4156987,2024-10-08T09:06:22-04:00,DoorDash enters into partnership with Wegmans Food Markets,59268336,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1213126547/image_1213126547.jpg
4153061,2024-09-25T08:40:43-04:00,Federal judge gives a win to food delivery services' fight with NYC restaurants,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1856636402/image_1856636402.jpg
4151047,2024-09-19T08:13:25-04:00,DoorDash rides higher after BTIG says it's a rare growth story,954720,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4139913,2024-08-14T12:23:46-04:00,"Soros Fund Management's top buys and sells in Q2 include Alphabet, Salesforce, others",54370868,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/693700256/image_693700256.jpg
4133683,2024-08-04T09:00:00-04:00,DoorDash Q2 results underscore potential for increased vertical expansion,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1147932669/image_1147932669.jpg
4132678,2024-08-01T17:57:55-04:00,Nasdaq futures fall nearly 3% after hours as Intel plunges,60268795,68,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1358927461/image_1358927461.jpg
4132726,2024-08-01T17:06:02-04:00,DoorDash rallies as revenue and orders post double-digit gains,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4132574,2024-08-01T16:17:14-04:00,"DoorDash GAAP EPS of -$0.38 misses by $0.29, revenue of $2.63B beats by $90M",54603272,4,tag,,
4156987,2024-10-08T09:06:22-04:00,DoorDash enters into partnership with Wegmans Food Markets,59268336,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1213126547/image_1213126547.jpg
4153061,2024-09-25T08:40:43-04:00,Federal judge gives a win to food delivery services' fight with NYC restaurants,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1856636402/image_1856636402.jpg
4151047,2024-09-19T08:13:25-04:00,DoorDash rides higher after BTIG says it's a rare growth story,954720,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4139913,2024-08-14T12:23:46-04:00,"Soros Fund Management's top buys and sells in Q2 include Alphabet, Salesforce, others",54370868,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/693700256/image_693700256.jpg
4133683,2024-08-04T09:00:00-04:00,DoorDash Q2 results underscore potential for increased vertical expansion,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1147932669/image_1147932669.jpg
4132678,2024-08-01T17:57:55-04:00,Nasdaq futures fall nearly 3% after hours as Intel plunges,60268795,68,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1358927461/image_1358927461.jpg
4132726,2024-08-01T17:06:02-04:00,DoorDash rallies as revenue and orders post double-digit gains,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4132574,2024-08-01T16:17:14-04:00,"DoorDash GAAP EPS of -$0.38 misses by $0.29, revenue of $2.63B beats by $90M",54603272,4,tag,,
4156987,2024-10-08T09:06:22-04:00,DoorDash enters into partnership with Wegmans Food Markets,59268336,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1213126547/image_1213126547.jpg
4153061,2024-09-25T08:40:43-04:00,Federal judge gives a win to food delivery services' fight with NYC restaurants,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1856636402/image_1856636402.jpg
4151047,2024-09-19T08:13:25-04:00,DoorDash rides higher after BTIG says it's a rare growth story,954720,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4139913,2024-08-14T12:23:46-04:00,"Soros Fund Management's top buys and sells in Q2 include Alphabet, Salesforce, others",54370868,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/693700256/image_693700256.jpg
4133683,2024-08-04T09:00:00-04:00,DoorDash Q2 results underscore potential for increased vertical expansion,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1147932669/image_1147932669.jpg
4132678,2024-08-01T17:57:55-04:00,Nasdaq futures fall nearly 3% after hours as Intel plunges,60268795,68,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1358927461/image_1358927461.jpg
4132726,2024-08-01T17:06:02-04:00,DoorDash rallies as revenue and orders post double-digit gains,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4132574,2024-08-01T16:17:14-04:00,"DoorDash GAAP EPS of -$0.38 misses by $0.29, revenue of $2.63B beats by $90M",54603272,4,tag,,
4156987,2024-10-08T09:06:22-04:00,DoorDash enters into partnership with Wegmans Food Markets,59268336,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1213126547/image_1213126547.jpg
4153061,2024-09-25T08:40:43-04:00,Federal judge gives a win to food delivery services' fight with NYC restaurants,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1856636402/image_1856636402.jpg
4151047,2024-09-19T08:13:25-04:00,DoorDash rides higher after BTIG says it's a rare growth story,954720,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4139913,2024-08-14T12:23:46-04:00,"Soros Fund Management's top buys and sells in Q2 include Alphabet, Salesforce, others",54370868,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/693700256/image_693700256.jpg
4133683,2024-08-04T09:00:00-04:00,DoorDash Q2 results underscore potential for increased vertical expansion,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1147932669/image_1147932669.jpg
4132678,2024-08-01T17:57:55-04:00,Nasdaq futures fall nearly 3% after hours as Intel plunges,60268795,68,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1358927461/image_1358927461.jpg
4132726,2024-08-01T17:06:02-04:00,DoorDash rallies as revenue and orders post double-digit gains,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4132574,2024-08-01T16:17:14-04:00,"DoorDash GAAP EPS of -$0.38 misses by $0.29, revenue of $2.63B beats by $90M",54603272,4,tag,,
4156987,2024-10-08T09:06:22-04:00,DoorDash enters into partnership with Wegmans Food Markets,59268336,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1213126547/image_1213126547.jpg
4153061,2024-09-25T08:40:43-04:00,Federal judge gives a win to food delivery services' fight with NYC restaurants,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1856636402/image_1856636402.jpg
4151047,2024-09-19T08:13:25-04:00,DoorDash rides higher after BTIG says it's a rare growth story,954720,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4139913,2024-08-14T12:23:46-04:00,"Soros Fund Management's top buys and sells in Q2 include Alphabet, Salesforce, others",54370868,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/693700256/image_693700256.jpg
4133683,2024-08-04T09:00:00-04:00,DoorDash Q2 results underscore potential for increased vertical expansion,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1147932669/image_1147932669.jpg
4132678,2024-08-01T17:57:55-04:00,Nasdaq futures fall nearly 3% after hours as Intel plunges,60268795,68,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1358927461/image_1358927461.jpg
4132726,2024-08-01T17:06:02-04:00,DoorDash rallies as revenue and orders post double-digit gains,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4132574,2024-08-01T16:17:14-04:00,"DoorDash GAAP EPS of -$0.38 misses by $0.29, revenue of $2.63B beats by $90M",54603272,4,tag,,
4156987,2024-10-08T09:06:22-04:00,DoorDash enters into partnership with Wegmans Food Markets,59268336,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1213126547/image_1213126547.jpg
4153061,2024-09-25T08:40:43-04:00,Federal judge gives a win to food delivery services' fight with NYC restaurants,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1856636402/image_1856636402.jpg
4151047,2024-09-19T08:13:25-04:00,DoorDash rides higher after BTIG says it's a rare growth story,954720,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4139913,2024-08-14T12:23:46-04:00,"Soros Fund Management's top buys and sells in Q2 include Alphabet, Salesforce, others",54370868,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/693700256/image_693700256.jpg
4133683,2024-08-04T09:00:00-04:00,DoorDash Q2 results underscore potential for increased vertical expansion,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1147932669/image_1147932669.jpg
4132678,2024-08-01T17:57:55-04:00,Nasdaq futures fall nearly 3% after hours as Intel plunges,60268795,68,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1358927461/image_1358927461.jpg
4132726,2024-08-01T17:06:02-04:00,DoorDash rallies as revenue and orders post double-digit gains,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4132574,2024-08-01T16:17:14-04:00,"DoorDash GAAP EPS of -$0.38 misses by $0.29, revenue of $2.63B beats by $90M",54603272,4,tag,,
4156987,2024-10-08T09:06:22-04:00,DoorDash enters into partnership with Wegmans Food Markets,59268336,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1213126547/image_1213126547.jpg
4153061,2024-09-25T08:40:43-04:00,Federal judge gives a win to food delivery services' fight with NYC restaurants,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1856636402/image_1856636402.jpg
4151047,2024-09-19T08:13:25-04:00,DoorDash rides higher after BTIG says it's a rare growth story,954720,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4139913,2024-08-14T12:23:46-04:00,"Soros Fund Management's top buys and sells in Q2 include Alphabet, Salesforce, others",54370868,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/693700256/image_693700256.jpg
4133683,2024-08-04T09:00:00-04:00,DoorDash Q2 results underscore potential for increased vertical expansion,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1147932669/image_1147932669.jpg
4132678,2024-08-01T17:57:55-04:00,Nasdaq futures fall nearly 3% after hours as Intel plunges,60268795,68,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1358927461/image_1358927461.jpg
4132726,2024-08-01T17:06:02-04:00,DoorDash rallies as revenue and orders post double-digit gains,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4132574,2024-08-01T16:17:14-04:00,"DoorDash GAAP EPS of -$0.38 misses by $0.29, revenue of $2.63B beats by $90M",54603272,4,tag,,
4156987,2024-10-08T09:06:22-04:00,DoorDash enters into partnership with Wegmans Food Markets,59268336,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1213126547/image_1213126547.jpg
4153061,2024-09-25T08:40:43-04:00,Federal judge gives a win to food delivery services' fight with NYC restaurants,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1856636402/image_1856636402.jpg
4151047,2024-09-19T08:13:25-04:00,DoorDash rides higher after BTIG says it's a rare growth story,954720,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4139913,2024-08-14T12:23:46-04:00,"Soros Fund Management's top buys and sells in Q2 include Alphabet, Salesforce, others",54370868,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/693700256/image_693700256.jpg
4133683,2024-08-04T09:00:00-04:00,DoorDash Q2 results underscore potential for increased vertical expansion,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1147932669/image_1147932669.jpg
4132678,2024-08-01T17:57:55-04:00,Nasdaq futures fall nearly 3% after hours as Intel plunges,60268795,68,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1358927461/image_1358927461.jpg
4132726,2024-08-01T17:06:02-04:00,DoorDash rallies as revenue and orders post double-digit gains,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4132574,2024-08-01T16:17:14-04:00,"DoorDash GAAP EPS of -$0.38 misses by $0.29, revenue of $2.63B beats by $90M",54603272,4,tag,,
4156987,2024-10-08T09:06:22-04:00,DoorDash enters into partnership with Wegmans Food Markets,59268336,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1213126547/image_1213126547.jpg
4153061,2024-09-25T08:40:43-04:00,Federal judge gives a win to food delivery services' fight with NYC restaurants,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1856636402/image_1856636402.jpg
4151047,2024-09-19T08:13:25-04:00,DoorDash rides higher after BTIG says it's a rare growth story,954720,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4139913,2024-08-14T12:23:46-04:00,"Soros Fund Management's top buys and sells in Q2 include Alphabet, Salesforce, others",54370868,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/693700256/image_693700256.jpg
4133683,2024-08-04T09:00:00-04:00,DoorDash Q2 results underscore potential for increased vertical expansion,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1147932669/image_1147932669.jpg
4132678,2024-08-01T17:57:55-04:00,Nasdaq futures fall nearly 3% after hours as Intel plunges,60268795,68,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1358927461/image_1358927461.jpg
4132726,2024-08-01T17:06:02-04:00,DoorDash rallies as revenue and orders post double-digit gains,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4132574,2024-08-01T16:17:14-04:00,"DoorDash GAAP EPS of -$0.38 misses by $0.29, revenue of $2.63B beats by $90M",54603272,4,tag,,
4153061,2024-09-25T08:40:43-04:00,Federal judge gives a win to food delivery services' fight with NYC restaurants,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1856636402/image_1856636402.jpg
4151047,2024-09-19T08:13:25-04:00,DoorDash rides higher after BTIG says it's a rare growth story,954720,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4139913,2024-08-14T12:23:46-04:00,"Soros Fund Management's top buys and sells in Q2 include Alphabet, Salesforce, others",54370868,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/693700256/image_693700256.jpg
4133683,2024-08-04T09:00:00-04:00,DoorDash Q2 results underscore potential for increased vertical expansion,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1147932669/image_1147932669.jpg
4132678,2024-08-01T17:57:55-04:00,Nasdaq futures fall nearly 3% after hours as Intel plunges,60268795,68,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1358927461/image_1358927461.jpg
4132726,2024-08-01T17:06:02-04:00,DoorDash rallies as revenue and orders post double-digit gains,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4132574,2024-08-01T16:17:14-04:00,"DoorDash GAAP EPS of -$0.38 misses by $0.29, revenue of $2.63B beats by $90M",54603272,4,tag,,
4153061,2024-09-25T08:40:43-04:00,Federal judge gives a win to food delivery services' fight with NYC restaurants,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1856636402/image_1856636402.jpg
4151047,2024-09-19T08:13:25-04:00,DoorDash rides higher after BTIG says it's a rare growth story,954720,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4139913,2024-08-14T12:23:46-04:00,"Soros Fund Management's top buys and sells in Q2 include Alphabet, Salesforce, others",54370868,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/693700256/image_693700256.jpg
4133683,2024-08-04T09:00:00-04:00,DoorDash Q2 results underscore potential for increased vertical expansion,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1147932669/image_1147932669.jpg
4132678,2024-08-01T17:57:55-04:00,Nasdaq futures fall nearly 3% after hours as Intel plunges,60268795,68,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1358927461/image_1358927461.jpg
4132726,2024-08-01T17:06:02-04:00,DoorDash rallies as revenue and orders post double-digit gains,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4132574,2024-08-01T16:17:14-04:00,"DoorDash GAAP EPS of -$0.38 misses by $0.29, revenue of $2.63B beats by $90M",54603272,4,tag,,
4153061,2024-09-25T08:40:43-04:00,Federal judge gives a win to food delivery services' fight with NYC restaurants,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1856636402/image_1856636402.jpg
4151047,2024-09-19T08:13:25-04:00,DoorDash rides higher after BTIG says it's a rare growth story,954720,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4139913,2024-08-14T12:23:46-04:00,"Soros Fund Management's top buys and sells in Q2 include Alphabet, Salesforce, others",54370868,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/693700256/image_693700256.jpg
4133683,2024-08-04T09:00:00-04:00,DoorDash Q2 results underscore potential for increased vertical expansion,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1147932669/image_1147932669.jpg
4132678,2024-08-01T17:57:55-04:00,Nasdaq futures fall nearly 3% after hours as Intel plunges,60268795,68,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1358927461/image_1358927461.jpg
4132726,2024-08-01T17:06:02-04:00,DoorDash rallies as revenue and orders post double-digit gains,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4132574,2024-08-01T16:17:14-04:00,"DoorDash GAAP EPS of -$0.38 misses by $0.29, revenue of $2.63B beats by $90M",54603272,4,tag,,
4153061,2024-09-25T08:40:43-04:00,Federal judge gives a win to food delivery services' fight with NYC restaurants,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1856636402/image_1856636402.jpg
4151047,2024-09-19T08:13:25-04:00,DoorDash rides higher after BTIG says it's a rare growth story,954720,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4139913,2024-08-14T12:23:46-04:00,"Soros Fund Management's top buys and sells in Q2 include Alphabet, Salesforce, others",54370868,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/693700256/image_693700256.jpg
4133683,2024-08-04T09:00:00-04:00,DoorDash Q2 results underscore potential for increased vertical expansion,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1147932669/image_1147932669.jpg
4132678,2024-08-01T17:57:55-04:00,Nasdaq futures fall nearly 3% after hours as Intel plunges,60268795,68,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1358927461/image_1358927461.jpg
4132726,2024-08-01T17:06:02-04:00,DoorDash rallies as revenue and orders post double-digit gains,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4132574,2024-08-01T16:17:14-04:00,"DoorDash GAAP EPS of -$0.38 misses by $0.29, revenue of $2.63B beats by $90M",54603272,4,tag,,
4153061,2024-09-25T08:40:43-04:00,Federal judge gives a win to food delivery services' fight with NYC restaurants,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1856636402/image_1856636402.jpg
4151047,2024-09-19T08:13:25-04:00,DoorDash rides higher after BTIG says it's a rare growth story,954720,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4139913,2024-08-14T12:23:46-04:00,"Soros Fund Management's top buys and sells in Q2 include Alphabet, Salesforce, others",54370868,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/693700256/image_693700256.jpg
4133683,2024-08-04T09:00:00-04:00,DoorDash Q2 results underscore potential for increased vertical expansion,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1147932669/image_1147932669.jpg
4132678,2024-08-01T17:57:55-04:00,Nasdaq futures fall nearly 3% after hours as Intel plunges,60268795,68,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1358927461/image_1358927461.jpg
4132726,2024-08-01T17:06:02-04:00,DoorDash rallies as revenue and orders post double-digit gains,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4132574,2024-08-01T16:17:14-04:00,"DoorDash GAAP EPS of -$0.38 misses by $0.29, revenue of $2.63B beats by $90M",54603272,4,tag,,
4153061,2024-09-25T08:40:43-04:00,Federal judge gives a win to food delivery services' fight with NYC restaurants,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1856636402/image_1856636402.jpg
4151047,2024-09-19T08:13:25-04:00,DoorDash rides higher after BTIG says it's a rare growth story,954720,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4139913,2024-08-14T12:23:46-04:00,"Soros Fund Management's top buys and sells in Q2 include Alphabet, Salesforce, others",54370868,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/693700256/image_693700256.jpg
4133683,2024-08-04T09:00:00-04:00,DoorDash Q2 results underscore potential for increased vertical expansion,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1147932669/image_1147932669.jpg
4132678,2024-08-01T17:57:55-04:00,Nasdaq futures fall nearly 3% after hours as Intel plunges,60268795,68,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1358927461/image_1358927461.jpg
4132726,2024-08-01T17:06:02-04:00,DoorDash rallies as revenue and orders post double-digit gains,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
4132574,2024-08-01T16:17:14-04:00,"DoorDash GAAP EPS of -$0.38 misses by $0.29, revenue of $2.63B beats by $90M",54603272,4,tag,,
4153061,2024-09-25T08:40:43-04:00,Federal judge gives a win to food delivery services' fight with NYC restaurants,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1856636402/image_1856636402.jpg
4151047,2024-09-19T08:13:25-04:00,DoorDash rides higher after BTIG says it's a rare growth story,954720,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1289399474/image_1289399474.jpg
